,Industry,Functional Area,Total Positions,Job Shift,Job Type,Job Location,Gender,Minimum Education,Degree Title,Career Level,Minimum Experience,Apply Before,Posting Date,Age,Experience,Department,link_to_job
1268,Call Center,Data Entry,15 Posts,Third Shift (Night),Full Time/Permanent,"Cavalry Ground, Lahore, Pakistan",No Preference,Intermediate/A-Level,0,Entry Level,Fresh,"Dec 08, 2023","Nov 07, 2023",0,,,https://www.rozee.pk/business-insiders-co-manager-hr-administration-lahore-jobs-1433331?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1433331&utm_campaign=ROZEE.PK_job_search
1269,Call Center,Data Entry,15 Posts,Third Shift (Night),Full Time/Permanent,"Lahore, Pakistan",No Preference,Intermediate/A-Level,0,Entry Level,Fresh,"Nov 29, 2023","Oct 28, 2023",0,,,https://www.rozee.pk/doltons-food-industries-production-manager-supervisor-karachi-jobs-1433171?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1433171&utm_campaign=ROZEE.PK_job_search
1270,0,Sales & Business Development,1 Post,First Shift (Day),Full Time/Permanent,"DHA, Lahore, Pakistan",Male,Bachelors,0,Entry Level,Less than 1 Year,"Nov 27, 2023","Oct 26, 2023",0,,,https://www.rozee.pk/simply-sufi-xprs-restaurant-manager-islamabad-lahore-bhera-jobs-1433219?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1433219&utm_campaign=ROZEE.PK_job_search
1271,Call Center,Data Entry,15 Posts,First Shift (Day),Full Time/Permanent,"Lahore, Pakistan",No Preference,Intermediate/A-Level,0,Entry Level,Fresh,"Nov 22, 2023","Oct 21, 2023",0,,,https://www.rozee.pk/hoest-ar-confectionary-manager-finance-taxation-lahore-jobs-1433241?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1433241&utm_campaign=ROZEE.PK_job_search
1272,Information Technology,Operations,1 Post,First Shift (Day),Full Time/Permanent,"Raja Bazar, Rawalpindi, Pakistan",No Preference,Bachelors,"A bachelor's degree in a relevant field, such as business, economics, finance, operations management, or a related discipline is often required. A master's degree or relevant certifications (e.g., Six Sigma, Lean, or data analysis certifications) can",Entry Level,"2 Years (Proficiency in data analysis tools and software (e.g., Excel, SQL, data visualization tools such as Tableau or Power BI).)","Dec 02, 2023","Nov 01, 2023",0,,,https://www.rozee.pk/the-indus-hospital-program-manager-ipc-infection-prevention-control-islamabad-jobs-1433195?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1433195&utm_campaign=ROZEE.PK_job_search
1273,Law Firms/Legal,Data Entry,1 Post,First Shift (Day),Full Time/Permanent,"Kohinoor, Faisalabad, Pakistan",Male,Bachelors,0,Entry Level,Fresh (Data Entry),"Nov 26, 2023","Oct 25, 2023",0,,,https://www.rozee.pk/bbt-granulles-enzymes-for-textile-private-limited-sales-manager-faisalabad-lahore-jobs-1433141?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1433141&utm_campaign=ROZEE.PK_job_search
1274,Healthcare / Hospital / Medical,Sales & Business Development,5 Posts,First Shift (Day),Full Time/Permanent,"Faisalabad, Hyderabad, Karachi, Lahore, Multan, Peshawar, Quetta, Rawalpindi, Pakistan",No Preference,Bachelors,"Science (Any), Engineering (Any), Business or Marketing",Experienced Professional,5 Years,"Dec 07, 2023","Nov 06, 2023",0,,,https://www.rozee.pk/tech-funnel-procurement-manager-faisalabad-jobs-1433101?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1433101&utm_campaign=ROZEE.PK_job_search
1275,Mining / Petroleum,"Accounts, Finance & Financial Services",2 Posts,First Shift (Day),Full Time/Permanent,"Clifton, Karachi, Pakistan",Female,Bachelors,0,Entry Level,1 Year,"Dec 09, 2023","Nov 08, 2023",0,,,https://www.rozee.pk/askari-family-takaful-branch-manager-faisalabad-jobs-1433103?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1433103&utm_campaign=ROZEE.PK_job_search
1276,0,"Accounts, Finance & Financial Services",2 Posts,First Shift (Day),Full Time/Permanent,"Clifton, Karachi, Pakistan",Female,Bachelors,0,Entry Level,1 Year,"Dec 09, 2023","Nov 08, 2023",0,,,https://www.rozee.pk/smart-resource-smc-pvt-ltd-recruitment-manager-islamabad-jobs-1433095?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1433095&utm_campaign=ROZEE.PK_job_search
1277,Mining / Petroleum,Supply Chain Management,1 Post,First Shift (Day),Full Time/Permanent,"Tharparkar, Pakistan",No Preference,Bachelors,"Must have Bachelor's degree or above in Commerce, Finance , Business management, or any other relevant field etc.",Experienced Professional,"3 Years (At least 3 years of experience in purchasing management, business management or financial payment statistics etc.(working experience in mining industry is preferred))","Dec 07, 2023","Nov 06, 2023",0,,,https://www.rozee.pk/surgicrafts-pvt-ltd-quality-assurance-executive-sialkot-jobs-1433423?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1433423&utm_campaign=ROZEE.PK_job_search
1278,Mining / Petroleum,Public Relations,1 Post,First Shift (Day),Contract,"Tharparkar, Pakistan",Male,Bachelors,"Degree in Public Relation, Marketing or relevant field etc.",Experienced Professional,3 Years (Relevant working experience in Mining industry or any other industry etc.),"Dec 07, 2023","Nov 06, 2023",0,,,https://www.rozee.pk/ronin-lifestyle-national-service-manager-karachi-jobs-1433321?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1433321&utm_campaign=ROZEE.PK_job_search
1279,Mining / Petroleum,Engineering,1 Post,First Shift (Day),Contract,"Tharparkar, Pakistan",Male,Bachelors,Bachelors in civil/geology/mining or any other relevant field,Experienced Professional,"3 Years (Experience in AutoCAD, ArcGIS, SURPAC and 3DMINE software is preferred, Working experience in a Chinese company or Chinese language speaking will be a plus)","Dec 07, 2023","Nov 06, 2023",0,,,https://www.rozee.pk/mark-industries-sales-activity-officer-rawat-jobs-1433133?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1433133&utm_campaign=ROZEE.PK_job_search
1280,Mining / Petroleum,Operations,1 Post,First Shift (Day),Full Time/Permanent,"Dera Ismail Khan, Pakistan",No Preference,Masters,Masters Degree from a reputed HEC recognized University/ Institution. Candidates having Engineering background will be given preference.,Experienced Professional,0,"Nov 06, 2023","Oct 27, 2023",0,,,https://www.rozee.pk/first-american-corporation-pvt-ltd-merchandiser-gloves-division-sialkot-jobs-1433073?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1433073&utm_campaign=ROZEE.PK_job_search
1281,Mining / Petroleum,Writer,1 Post,First Shift (Day),Contract,"Tharparkar, Pakistan",Male,Bachelors,0,Experienced Professional,"3 Years (Have previous experience in mining industry , site translation , Chinese organization.)","Nov 27, 2023","Oct 26, 2023",0,,,https://www.rozee.pk/yunas-fans-sales-manager-gujrat-jobs-1433047?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1433047&utm_campaign=ROZEE.PK_job_search
1282,Information Technology,Health & Medicine,1 Post,First Shift (Day),Full Time/Permanent,"Islamabad, Peshawar, Pakistan",Male,MBBS,0,GM / CEO / Country Head / President,25 Years,"Dec 10, 2023","Nov 09, 2023",44 - 65 Years,,,https://www.rozee.pk/meraj-limited-data-filing-system-manager-karachi-jobs-1432445?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432445&utm_campaign=ROZEE.PK_job_search
1283,Recruitment / Employment Firms,Sales & Business Development,1 Post,First Shift (Day),Full Time/Permanent,"Lahore, Pakistan",No Preference,Intermediate/A-Level,0,Experienced Professional,2 Years,"Nov 20, 2023","Oct 19, 2023",0,,,https://www.rozee.pk/scon-valves-sales-executive-lahore-jobs-1432817?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432817&utm_campaign=ROZEE.PK_job_search
1284,Healthcare / Hospital / Medical,Sales & Business Development,1 Post,First Shift (Day),Full Time/Permanent,"KCHSU, Karachi, Pakistan",Male,Masters,0,Experienced Professional,5 Years,"Dec 09, 2023","Nov 08, 2023",35 - 45 Years,,,https://www.rozee.pk/pakson-international-plastic-industries-sales-executive-rawalpindi-jobs-1432973?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432973&utm_campaign=ROZEE.PK_job_search
1285,Information Technology,Health & Medicine,1 Post,First Shift (Day),Full Time/Permanent,"Sialkot, Pakistan",Female,MBBS,0,Entry Level,0,"Nov 21, 2023","Oct 20, 2023",0,,,https://www.rozee.pk/ilyas-group-of-industries-limited-territory-sales-manager-hyderabad-karachi-quetta-jobs-1432949?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432949&utm_campaign=ROZEE.PK_job_search
1286,Information Technology,Health & Medicine,1 Post,First Shift (Day),Full Time/Permanent,"Islamabad, Peshawar, Pakistan",Male,MBBS,0,GM / CEO / Country Head / President,25 Years,"Dec 10, 2023","Nov 09, 2023",44 - 65 Years,,,https://www.rozee.pk/al-khair-gadoon-ltd-tax-manager-lahore-jobs-1432841?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432841&utm_campaign=ROZEE.PK_job_search
1287,Accounting / Taxation,Client Services & Customer Support,3 Posts,Third Shift (Night),Full Time/Permanent,"Gulberg, Lahore, Pakistan",No Preference,Bachelors,0,Experienced Professional,0,"Dec 11, 2023","Nov 10, 2023",0,,,https://www.rozee.pk/ilyas-group-of-industries-limited-business-development-officer-hyderabad-karachi-sukkur-jobs-1432799?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432799&utm_campaign=ROZEE.PK_job_search
1288,Information Technology,Client Services & Customer Support,6 Posts,Second Shift (Afternoon),Full Time/Permanent,"Lahore, Pakistan",No Preference,Bachelors,0,Entry Level,1 Year,"Dec 14, 2023","Nov 13, 2023",0,,,https://www.rozee.pk/ilyas-group-of-industries-limited-regional-sales-manager-islamabad-gujranwala-rawalpindi-jobs-1432947?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432947&utm_campaign=ROZEE.PK_job_search
1289,Healthcare / Hospital / Medical,Health & Medicine,5 Posts,First Shift (Day),Full Time/Permanent,"Rawalpindi, Pakistan",Female,Intermediate/A-Level,Medical Lab Technologist (MLT),Entry Level,Less than 1 Year,"Dec 08, 2023","Nov 07, 2023",22 - 36 Years,,,https://www.rozee.pk/ilyas-group-of-industries-limited-area-sales-manager-karachihyderabadquetta-jobs-1432945?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432945&utm_campaign=ROZEE.PK_job_search
1290,Healthcare / Hospital / Medical,Health & Medicine,2 Posts,First Shift (Day),Full Time/Permanent,"Gujranwala, Pakistan",Female,Intermediate/A-Level,Medical Lab Technologist (MLT),Entry Level,1 Year,"Nov 28, 2023","Oct 27, 2023",24 - 36 Years,,,https://www.rozee.pk/medical-devices-pvt-ltd-accountant-sialkot-jobs-1432733?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432733&utm_campaign=ROZEE.PK_job_search
1291,Healthcare / Hospital / Medical,Client Services & Customer Support,35+ Posts,Third Shift (Night),Full Time/Permanent,"Lahore, Pakistan",No Preference,Bachelors,0,Entry Level,0,"Nov 28, 2023","Oct 27, 2023",18 - 38 Years,,,https://www.rozee.pk/first-american-corporation-pvt-ltd-quality-manager-gloves-belts-sialkot-jobs-1432761?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432761&utm_campaign=ROZEE.PK_job_search
1292,Healthcare / Hospital / Medical,Client Services & Customer Support,1 Post,First Shift (Day),Full Time/Permanent,"Karachi, Pakistan",Male,Masters,Healthcare Management,Experienced Professional,2 Years,"Nov 20, 2023","Oct 19, 2023",0,,,https://www.rozee.pk/coatinks-private-limited-product-line-supervisor-karachi-jobs-1424817?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1424817&utm_campaign=ROZEE.PK_job_search
1293,0,Client Services & Customer Support,3 Posts,First Shift (Day),Full Time/Permanent,"DHA, Karachi, Pakistan",No Preference,Intermediate/A-Level,0,Entry Level,1 Year,"Dec 13, 2023","Nov 12, 2023",0,,,https://www.rozee.pk/gold-panel-group-merchandiser-sialkot-jobs-1432707?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432707&utm_campaign=ROZEE.PK_job_search
1294,Call Center,Client Services & Customer Support,15 Posts,Third Shift (Night),Full Time/Permanent,"Model Town, Lahore, Pakistan",No Preference,Matriculation/O-Level,0,Entry Level,0,"Nov 17, 2023","Oct 16, 2023",18 - 35 Years,,,https://www.rozee.pk/emaan-garment-assistant-accounts-karachi-jobs-1432617?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432617&utm_campaign=ROZEE.PK_job_search
1295,BPO,Sales & Business Development,1 Post,First Shift (Day),Full Time/Permanent,"Lahore, Pakistan",No Preference,Bachelors,0,Experienced Professional,3 Years,"Nov 21, 2023","Oct 20, 2023",0,,,https://www.rozee.pk/emaan-garment-merchandiser-karachi-jobs-1432607?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432607&utm_campaign=ROZEE.PK_job_search
1296,0,Sales & Business Development,1 Post,First Shift (Day),Full Time/Permanent,"Marrir Hassan, Rawalpindi, Pakistan",No Preference,Intermediate/A-Level,0,Entry Level,1 Year,"Nov 21, 2023","Oct 20, 2023",0,,,https://www.rozee.pk/king-paper-and-board-mills-pvt-ltd-admin-hr-manager-sheikhupura-jobs-1432603?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432603&utm_campaign=ROZEE.PK_job_search
